index,x[mm],y[mm],z[mm],Ux[mm],Uy[mm],Uz[mm],Fx[N],Fy[N],Fz[N]
60,0.296957,9.396930,3.368240,-15.580078,-5.851562,5.304688,0.157230,-1.810717,-8.211800
61,2.323070,9.396930,2.198460,-15.626953,-2.253906,5.398438,-0.520148,-3.506975,1.469399
62,6.130920,7.660440,0.000000,-14.471680,4.171875,3.933594,-1.686542,2.410035,4.595207
63,3.123250,9.396930,0.000000,-15.881836,0.765625,4.921875,3.870746,-6.958740,-7.082027
64,0.296957,-9.396930,-3.368240,2.346191,2.265625,-3.707031,-2.193131,-5.126917,5.079970
65,-0.296955,-10.000000,0.000000,3.291504,2.144531,-2.667969,1.209169,1.667754,0.169466
66,-2.007060,-9.396930,2.961980,3.456055,1.794922,-1.609375,-3.746332,-2.543765,0.686761
67,0.296957,-9.396930,3.368240,3.591797,3.289062,-2.410156,0.269753,-2.488581,-5.442040
68,3.123250,-9.396930,0.000000,3.101563,5.000000,-4.339844,-0.117904,0.456859,-0.209370
69,2.323070,-9.396930,2.198460,3.348145,4.308594,-3.675781,-3.269136,1.328300,1.794644
70,0.296957,9.396930,-3.368240,-16.044922,0.175781,4.167969,1.667391,-16.187539,6.786451
71,-0.296955,10.000000,0.000000,-16.093750,-2.652344,5.000000,-3.416999,-1.194898,7.224632
72,-2.007060,9.396930,2.961980,-15.908203,-5.337891,3.835938,0.830414,-1.732224,-2.704527
73,2.323070,9.396930,-2.198460,-15.910156,1.417969,4.382812,-14.747905,1.644833,6.189980
74,-0.296932,-0.000080,0.000006,-6.503052,-0.984375,-3.543945,11.611630,-46.098601,5.888249
75,-2.366410,-4.396960,-1.736480,-2.690674,-1.992188,-3.321289,1.332985,-16.330417,2.118759
76,0.172150,4.999960,0.812517,-11.465332,-2.238281,1.416016,-14.773903,39.474695,0.670347
77,2.241620,-4.396970,0.923964,-1.522705,2.988281,-4.164062,-8.692736,42.520638,7.349388
